start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location_description,location_code,url,date
2024-07-29 11:48:00+02:00,2024-07-29 11:54:00+02:00,2024-07-29,FINISHED,Judo,JUD,Men -73 kg,0,Men -73 kg Elimination Round of 16,M,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 2,JU2,/en/paris-2024/results/judo/men--73-kg/8fnl000500--,2024-07-29
2024-07-29 11:54:00+02:00,2024-07-29 12:00:00+02:00,2024-07-29,FINISHED,Judo,JUD,Women -57 kg,0,Women -57 kg Elimination Round of 16,W,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 1,JU1,/en/paris-2024/results/judo/women--57-kg/8fnl000800--,2024-07-29
2024-07-29 11:54:00+02:00,2024-07-29 12:00:00+02:00,2024-07-29,FINISHED,Judo,JUD,Men -73 kg,0,Men -73 kg Elimination Round of 16,M,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 2,JU2,/en/paris-2024/results/judo/men--73-kg/8fnl000600--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 12:50:00+02:00,2024-07-29,FINISHED,Beach Volleyball,VBV,Women,0,Women's Preliminary - Pool F - Matches,W,HTEAM,Eiffel Tower Stadium,EIF,Eiffel Tower Stadium - Centre Court,BV0,/en/paris-2024/results/beach-volleyball/women/gpf-000100--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 12:06:00+02:00,2024-07-29,FINISHED,Judo,JUD,Women -57 kg,0,Women -57 kg Quarterfinals,W,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 1,JU1,/en/paris-2024/results/judo/women--57-kg/qfnl000100--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 12:06:00+02:00,2024-07-29,FINISHED,Judo,JUD,Men -73 kg,0,Men -73 kg Elimination Round of 16,M,HATH,Champ-de-Mars Arena,CDM,Champ-de-Mars Arena Mat 2,JU2,/en/paris-2024/results/judo/men--73-kg/8fnl000700--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 12:17:00+02:00,2024-07-29,FINISHED,Rowing,ROW,Women's Eight,0,Women's Eight Heats,W,TEAM,Nautical St - Flat water,VN1,Vaires-sur-Marne Nautical Stadium - Flat water,VN1,/en/paris-2024/results/rowing/women-s-eight/heat--------,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 12:45:00+02:00,2024-07-29,FINISHED,Shooting,SHO,10m Air Rifle Men,1,10m Air Rifle Men's Final,M,ATH,Chateauroux Shooting Ctr,CTX,Chateauroux - Final Range,SH1,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 15:50:00+02:00,2024-07-29,FINISHED,Skateboarding,SKB,Men's Street,0,Men's Street Prelims,M,ATH,La Concorde 3,LC3,La Concorde 3,LC3,/en/paris-2024/results/skateboarding/men-s-street/qual--------,2024-07-29
2024-07-29 12:00:00+02:00,2024-07-29 13:00:00+02:00,2024-07-29,FINISHED,Table Tennis,TTE,Men's Singles,0,Men's Singles Round of 64,M,HATH,South Paris Arena 4,SP4,South Paris Arena 4 Table 1,TT1,/en/paris-2024/results/table-tennis/men-s-singles/r64-003200--,2024-07-29
